n,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
1731,3158948.5,31589.484,3158.9485,3.1589484,3158948.5,31589.484,3158.9485,3.1589484,2.0959639E-04,1.4477444E-02,3.157124,3157.124
1741,3157577.8,31575.777,3157.5776,3.1575778,3157577.8,31575.777,3157.5776,3.1575778,1.452184E-04,1.2050659E-02,3.155956,3155.956
1751,3250320.8,32503.207,3250.3206,3.2503207,3250320.8,32503.207,3250.3206,3.2503207,2.660482E-04,1.6310984E-02,3.247453,3247.453
1761,3307712.5,33077.125,3307.7126,3.3077126,3307712.5,33077.125,3307.7126,3.3077126,1.2911858E-04,1.1363035E-02,3.310406,3310.406
1771,3324920.5,33249.203,3324.9204,3.3249204,3324920.5,33249.203,3324.9204,3.3249204,8.969773E-05,9.470888E-03,3.323193,3323.193
1781,3363313.0,33633.13,3363.313,3.363313,3363313.0,33633.13,3363.313,3.363313,3.9554838E-04,1.9888397E-02,3.358953,3358.953
1791,3346716.8,33467.168,3346.7166,3.3467166,3346716.8,33467.168,3346.7166,3.3467166,1.1320434E-04,1.0639753E-02,3.345773,3345.773
1801,3507859.3,35078.594,3507.8591,3.5078592,3507859.3,35078.594,3507.8591,3.5078592,8.9044793E-04,2.9840374E-02,3.501453,3501.453
1811,3579175.5,35791.754,3579.1755,3.5791755,3579175.5,35791.754,3579.1755,3.5791755,2.6154346E-04,1.6172305E-02,3.578137,3578.137
1821,3490532.0,34905.32,3490.532,3.490532,3490532.0,34905.32,3490.532,3.490532,1.4716765E-04,1.2131267E-02,3.487043,3487.043
