n, each, mean, variance, stdDev, median,median1e6
1331,1.3741334E-03,1.3741334E-03,8.33332E-07,9.128702E-04,1.177E-03,1177.0
1341,1.2338666E-03,1.2338666E-03,4.3797836E-09,6.6179935E-05,1.249E-03,1249.0
1351,9.778667E-04,9.778667E-04,1.2593317E-08,1.1221995E-04,9.63E-04,963.0
1361,1.0666001E-03,1.0666001E-03,5.1443734E-09,7.172429E-05,1.074E-03,1074.0
1371,1.3133665E-03,1.3133665E-03,3.18581E-08,1.7848838E-04,1.275E-03,1275.0
1381,1.2984335E-03,1.2984335E-03,4.138918E-08,2.034433E-04,1.244E-03,1244.0
1391,1.5371335E-03,1.5371335E-03,1.0600575E-06,1.029591E-03,1.359E-03,1359.0
1401,1.3874335E-03,1.3874335E-03,7.0653397E-07,8.4055576E-04,1.223E-03,1223.0
1411,1.3076669E-03,1.3076669E-03,9.023487E-09,9.4992036E-05,1.292E-03,1292.0
1421,1.2938336E-03,1.2938336E-03,1.1838337E-08,1.08804124E-04,1.283E-03,1283.0
1431,1.5981E-03,1.5981E-03,1.4915624E-07,3.862075E-04,1.418E-03,1418.0
1441,1.4044333E-03,1.4044333E-03,1.8935312E-08,1.3760565E-04,1.389E-03,1389.0
1451,1.2031667E-03,1.2031667E-03,1.3826669E-08,1.1758685E-04,1.179E-03,1179.0
1461,1.6073666E-03,1.6073666E-03,2.8376294E-07,5.3269404E-04,1.37E-03,1370.0
1471,1.3253667E-03,1.3253667E-03,8.801565E-09,9.3816656E-05,1.314E-03,1314.0
1481,1.3992668E-03,1.3992668E-03,6.2418664E-08,2.4983726E-04,1.359E-03,1359.0
1491,1.3097668E-03,1.3097668E-03,1.7870043E-08,1.3367888E-04,1.295E-03,1295.0
1501,1.9414668E-03,1.9414668E-03,2.0235634E-06,1.4225201E-03,1.639E-03,1639.0
1511,1.9297E-03,1.9297E-03,2.0635541E-07,4.542636E-04,1.724E-03,1724.0
1521,1.7780003E-03,1.7780003E-03,9.616319E-08,3.101019E-04,1.721E-03,1721.0
1531,2.0437664E-03,2.0437664E-03,6.144598E-08,2.47883E-04,2.017E-03,2017.0
1541,1.5070331E-03,1.5070331E-03,7.6771315E-08,2.7707638E-04,1.426E-03,1426.0
1551,2.1889333E-03,2.1889333E-03,1.6730689E-06,1.2934717E-03,1.91E-03,1910.0
1561,1.7058E-03,1.7058E-03,1.0726889E-07,3.275193E-04,1.612E-03,1612.0
1571,1.7802335E-03,1.7802335E-03,2.3669663E-06,1.5384948E-03,1.507E-03,1507.0
1581,1.9240001E-03,1.9240001E-03,6.055534E-08,2.4607993E-04,1.897E-03,1897.0
1591,2.43E-03,2.43E-03,1.9290396E-06,1.3888987E-03,2.189E-03,2189.0
