n,eachLogEach,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
436,4900.4286,2465.2312,1537.6934,15.376933,1.5376933,1.5376933E-03,768846.6,7688.4663,768.8466,0.76884663,1.7630038E-04,1.3277816E-02,0.768581,768.581,1.537162,1537.162
435,4886.6611,2459.577,1533.8909,15.338908,1.5338908,1.5338908E-03,766945.44,7669.454,766.94543,0.7669454,1.7236819E-04,1.31289065E-02,0.765587,765.587,1.531174,1531.174
434,4877.6379,2453.9228,1531.3981,15.31398,1.531398,1.531398E-03,765699.0,7656.99,765.69904,0.765699,1.0290724E-04,1.014432E-02,0.766373,766.373,1.532746,1532.746
433,4872.7212,2448.2686,1530.0396,15.300396,1.5300395,1.5300396E-03,765019.75,7650.1978,765.0198,0.7650198,1.5370012E-04,1.2397585E-02,0.761549,761.549,1.523098,1523.098
432,4869.8634,2442.6144,1529.2499,15.292499,1.5292498,1.5292498E-03,764624.9,7646.249,764.6249,0.7646249,3.0739914E-04,1.7532801E-02,0.758221,758.22095,1.516442,1516.4419
431,4828.3639,2436.9602,1517.7769,15.177769,1.5177768,1.5177769E-03,758888.44,7588.8843,758.8884,0.7588884,2.2504356E-04,1.50014525E-02,0.75715,757.15,1.5143,1514.3
430,4807.500,2431.306,1512.005,15.120049,1.512005,1.512005E-03,756002.5,7560.025,756.0025,0.7560025,1.4810804E-04,1.2169965E-02,0.753459,753.459,1.506918,1506.918
429,4792.6416,2425.6518,1507.8927,15.078927,1.5078927,1.5078927E-03,753946.4,7539.464,753.94635,0.75394636,1.172557E-04,1.0828467E-02,0.753471,753.471,1.506942,1506.9421
428,4792.2120,2419.9976,1507.7738,15.077738,1.5077738,1.5077738E-03,753886.9,7538.8687,753.8869,0.7538869,1.2221868E-04,1.1055256E-02,0.751818,751.818,1.503636,1503.636
427,4773.3595,2414.3434,1502.5542,15.025541,1.5025542,1.5025542E-03,751277.06,7512.771,751.2771,0.7512771,1.5405512E-04,1.2411894E-02,0.752062,752.062,1.504124,1504.124
426,4765.0774,2408.6892,1500.2605,15.002605,1.5002606,1.5002606E-03,750130.3,7501.3027,750.1303,0.7501303,1.5409646E-04,1.24135595E-02,0.749117,749.117,1.498234,1498.234
425,4752.823,2403.035,1496.866,14.96866,1.496866,1.496866E-03,748433.0,7484.33,748.433,0.748433,1.2142622E-04,1.1019357E-02,0.746364,746.364,1.492728,1492.728
424,4747.1442,2397.3808,1495.2925,14.952926,1.4952925,1.4952925E-03,747646.25,7476.463,747.6463,0.7476463,2.0764109E-04,1.4409756E-02,0.745487,745.487,1.490974,1490.974
423,4778.4706,2391.7266,1503.9695,15.039694,1.5039694,1.5039694E-03,751984.7,7519.847,751.98474,0.7519847,1.8828407E-04,1.3721664E-02,0.749313,749.313,1.498626,1498.626
